DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
CSM04,1,2006,AU,WA-A,7,1,2,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2006,AU,WB-B,8,1,6,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2006,SP,FA-A,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2006,SP,FB-B,6,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2006,SP,SpB-A,15,1,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2006,SP,SpB-B,10,1,0,0,0,0,0,2,0,0,1,0,0,0
CSM04,1,2006,SP,SuB-A,7,2,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2006,SP,SuB-B,6,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2006,SP,WA-A,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2006,SP,WB-B,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2007,AU,FA-A,6,1,7,0,0,0,12,1,0,0,0,0,0,0
CSM04,1,2007,AU,FB-B,14,3,11,1,0,0,23,0,0,0,0,0,0,0
CSM04,1,2007,AU,SpB-A,6,2,1,0,0,0,0,4,0,0,0,0,0,0
CSM04,1,2007,AU,SpB-B,7,1,14,1,0,1,2,5,0,0,4,0,0,0
CSM04,1,2007,AU,SuB-A,11,6,0,1,0,0,0,2,0,0,1,0,0,0
CSM04,1,2007,AU,SuB-B,20,0,0,3,0,0,0,0,0,0,1,0,0,0
CSM04,1,2007,AU,WA-A,0,0,0,2,0,1,3,0,0,0,0,0,0,0
CSM04,1,2007,AU,WB-B,3,1,0,1,0,1,4,0,0,0,0,0,0,0
CSM04,1,2007,SP,FA-A,23,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2007,SP,FB-B,20,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2007,SP,SpB-A,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2007,SP,SpB-B,8,1,0,0,0,0,1,1,0,0,0,0,0,0
CSM04,1,2007,SP,SuB-A,6,2,0,0,0,0,1,2,0,0,0,0,0,0
CSM04,1,2007,SP,SuB-B,6,1,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2007,SP,WA-A,16,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2007,SP,WB-B,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2008,AU,FA-A,9,2,0,1,0,0,0,0,0,1,0,0,0,0
CSM04,1,2008,AU,FB-B,10,6,1,1,0,0,22,0,0,0,0,0,0,0
CSM04,1,2008,AU,SpB-A,8,2,0,1,0,0,6,0,0,0,1,0,0,0
CSM04,1,2008,AU,SpB-B,5,0,0,1,0,1,2,0,0,0,0,0,0,0
CSM04,1,2008,AU,SuB-A,2,1,1,0,0,0,10,5,0,0,0,0,0,0
CSM04,1,2008,AU,SuB-B,2,5,3,0,0,0,11,8,0,0,0,0,0,0
CSM04,1,2008,AU,WA-A,8,3,2,0,0,0,11,0,0,0,1,0,0,0
CSM04,1,2008,AU,WB-B,13,1,0,1,0,0,6,0,0,0,0,0,0,0
CSM04,1,2008,SP,FA-A,5,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2008,SP,FB-B,7,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM04,1,2008,SP,SpB-A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2008,SP,SpB-B,3,4,0,0,0,0,6,0,0,0,0,0,0,0
CSM04,1,2008,SP,SuB-A,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2008,SP,SuB-B,9,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2008,SP,WA-A,8,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2008,SP,WB-B,10,2,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2009,AU,FA-A,1,5,6,1,0,0,2,1,0,0,0,0,0,0
CSM04,1,2009,AU,FB-B,2,17,1,0,0,0,6,0,0,0,0,0,0,0
CSM04,1,2009,AU,SpB-A,4,2,6,0,0,0,6,1,0,0,0,0,0,0
CSM04,1,2009,AU,SpB-B,5,2,34,0,0,0,1,0,0,0,0,0,0,0
CSM04,1,2009,AU,SuB-A,2,1,0,0,0,0,0,6,0,0,0,0,0,0
CSM04,1,2009,AU,SuB-B,8,3,0,1,0,0,0,4,0,0,0,0,0,0
CSM04,1,2009,AU,WA-A,2,1,14,1,0,0,0,0,0,0,0,0,0,0
CSM04,1,2009,AU,WB-B,9,12,6,2,0,0,38,0,0,0,0,1,0,0
CSM04,1,2009,SP,FA-A,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2009,SP,FB-B,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2009,SP,SpB-A,3,4,0,0,0,0,5,0,0,0,0,0,0,0
CSM04,1,2009,SP,SpB-B,3,5,0,0,0,0,4,0,0,0,0,0,0,0
CSM04,1,2009,SP,SuB-A,3,8,0,0,0,0,1,3,0,0,0,0,0,0
CSM04,1,2009,SP,SuB-B,1,9,0,0,0,0,6,4,0,0,0,0,0,0
CSM04,1,2009,SP,WA-A,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2009,SP,WB-B,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2010,AU,FA-A,8,0,0,2,0,0,0,0,0,0,0,0,0,0
CSM04,1,2010,AU,FB-B,10,12,3,2,0,0,1,3,0,0,0,0,0,0
CSM04,1,2010,AU,SpB-A,4,0,0,0,0,0,4,0,0,0,0,0,0,0
CSM04,1,2010,AU,SpB-B,4,4,0,2,0,0,0,4,0,0,0,0,0,0
CSM04,1,2010,AU,SuB-A,7,16,0,5,0,0,0,7,0,0,0,0,0,0
CSM04,1,2010,AU,SuB-B,10,8,1,3,0,0,3,7,0,0,0,0,0,0
CSM04,1,2010,AU,WA-A,15,1,0,3,0,0,1,1,0,0,0,0,0,0
CSM04,1,2010,AU,WB-B,9,12,3,1,0,0,7,0,0,0,0,0,0,0
CSM04,1,2010,SP,FA-A,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2010,SP,FB-B,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2010,SP,SpB-A,1,0,0,0,0,0,0,2,0,0,0,0,0,0
CSM04,1,2010,SP,SpB-B,0,0,0,0,0,0,0,2,0,0,0,1,0,0
CSM04,1,2010,SP,SuB-A,1,0,0,0,0,0,0,2,0,0,0,0,0,0
